[2025-01-09T00:11:57.640241+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-09T00:14:54.710312+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-09T14:08:30.686937+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-09T14:13:59.596476+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-09T14:14:06.312153+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-09T14:31:37.916720+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-09T14:32:08.310109+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-09T14:32:56.201695+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-09T14:33:02.177550+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-09T14:34:27.425977+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-09T14:35:11.912033+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
