[2025-01-03T12:05:06.156835+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T12:53:10.352619+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T12:54:54.114888+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T12:55:18.298801+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T12:57:00.098950+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T12:57:56.583419+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T13:51:53.386129+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T13:52:07.595781+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T14:25:31.959604+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T14:25:32.096218+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T14:25:33.071977+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T14:26:09.403043+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T19:26:22.116719+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T19:26:40.373999+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T19:26:54.154575+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-03T19:27:09.557199+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
