[2025-01-15T11:39:17.516812+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T11:40:13.366223+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T11:42:41.882215+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T11:42:41.903399+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T11:42:55.001817+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T11:43:10.564390+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T11:43:14.319913+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T11:44:42.522726+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T11:45:46.178758+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T11:45:56.082513+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T11:46:04.148081+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T11:48:25.255181+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
[2025-01-15T12:01:52.888637+00:00] name.INFO: FILME ENCOTRADO NA API | MoviesDetails [] []
