[2025-01-15T11:28:05.007826+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:28:05.598419+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:29:29.796167+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:29:30.034854+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:29:32.558951+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:29:32.762174+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:30:05.458083+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:30:05.704623+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:30:19.080786+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:30:19.321272+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:30:21.351569+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:30:21.587906+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:32:08.761510+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:32:09.510149+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:34:09.339946+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:34:09.987585+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:34:16.833995+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:34:17.058542+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:34:24.356421+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:34:24.652513+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:35:05.859396+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:35:06.095387+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:35:44.090636+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:35:44.314327+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:35:45.049990+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:35:45.280787+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:35:45.880001+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:35:46.083169+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:36:03.491125+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:36:03.740895+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:36:06.735935+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:36:06.967806+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:36:16.328938+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:36:16.573696+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:36:18.877016+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:36:19.091727+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:36:19.649969+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-15T11:36:19.869044+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-15T11:36:20.210838+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
