[2025-02-19T19:35:13.709064+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-02-19T19:35:15.361304+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-02-19T19:35:22.634551+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-02-19T19:35:23.475960+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-02-19T19:35:32.952660+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-02-19T19:35:33.275413+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-02-19T19:35:41.717051+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-02-19T19:35:42.138286+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-02-19T19:35:47.184678+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-02-19T19:35:47.598259+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
