[2025-01-18T14:42:19.322193+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-18T14:42:19.802141+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-18T14:42:23.682795+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-18T14:42:23.954483+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-18T14:42:59.905252+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-18T14:43:00.252363+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-18T14:48:52.967787+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-18T14:48:57.432676+00:00] name.ERROR: O JSON NA API ESTAR COM ERRO DE DECODIFICAÇÃO | FilmsModel [] []
[2025-01-18T15:02:22.679480+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-18T15:02:24.925067+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-18T15:03:21.355476+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-18T15:03:21.379033+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-18T15:03:21.639144+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-18T15:03:21.692475+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-18T15:03:37.774502+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-18T15:03:38.295908+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
