[2025-01-07T14:53:50.968145+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T14:53:51.444252+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T17:48:45.204587+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T17:48:46.037082+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T18:21:25.295552+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T18:21:25.679692+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T18:42:21.171834+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T18:42:21.627752+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T19:50:02.652448+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T19:50:02.916503+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T19:51:02.200703+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T19:51:02.483695+00:00] name.ERROR: A API NÃO ESTÁ TRAZENDO A CHAVE 'RESULTS'. | FilmsModel  [] []
[2025-01-07T19:51:16.677065+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T19:51:16.921654+00:00] name.ERROR: A API NÃO ESTÁ TRAZENDO A CHAVE 'RESULTS'. | FilmsModel  [] []
[2025-01-07T19:51:47.959225+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T19:51:48.215455+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T19:52:04.909398+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T19:52:05.150871+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T19:53:20.737988+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T19:53:21.059438+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T19:56:09.432377+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T19:56:09.830640+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T19:56:39.614103+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T19:56:39.914026+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T19:59:33.695517+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T19:59:34.053598+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T19:59:42.969491+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T19:59:43.235625+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-07T23:54:31.159796+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-07T23:54:31.617459+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
